STDPL,SMSSL,LPFL,MedianSI,sacl,sacr,fixl,fixr,Class
1.334482668,2.073584645,3.646483041,4.455652,5.504128096,7.775269626,5.253940455,7.524454477,2
1.39486944,2.198188435,3.703327967,9.196923,8.776328987,11.53460381,8.52557673,11.28385155,2
1.487534079,2.30665718,3.966104416,8.094733,7.775269626,9.280160522,7.524454477,9.029345372,2
1.512273383,2.379245608,4.020758737,15.107638,11.50575288,10.50525263,11.25562781,10.25512756,2
1.40578968,2.194614094,3.7894768,6.073273,9.954058193,10.53159478,9.698825932,10.28084253,2
1.34927884,2.103169983,3.600295653,3.392611,7.77331996,9.277833501,7.522567703,9.027081244,2
1.439370674,2.297793843,3.826566975,10.850306,12.06636501,16.29889669,11.8149824,16.04814443,2
1.279945555,2.018533292,3.340740591,17.754211,14.90651844,20.06018054,14.65386559,19.80942828,2
1.249956802,2.003841493,3.324653249,8.070148,11.50575288,10.05530417,11.25562781,9.803921569,2
0.997123454,1.552529004,2.707884379,4.27,7.77331996,5.265797392,7.522567703,5.015045135,2
0.991111893,1.575191674,2.662766522,17.791667,28.76438219,31.26563282,28.51425713,31.01550775,2
1.111683224,1.754400095,2.955236215,25.999743,33.52514386,40.13042388,33.27495622,39.87960873,2
1.017975958,1.580816774,2.741580532,8.237501,5.267118134,7.524454477,5.016302985,7.273639328,2
1.038506099,1.603387196,2.836262299,2.811951,3.009027081,3.267973856,2.758274824,3.016591252,2
1.034388514,1.598619756,2.776259739,4.051586,2.507522568,5.265797392,2.256770311,5.015045135,2
1.006266731,1.560404391,2.739705999,7.361591,10.03260597,12.82373648,9.78179082,12.57229067,2
1.130684244,1.784708418,2.964825033,8.928182,18.50925463,15.50775388,18.25912956,15.25762881,2
1.018357695,1.607790226,2.775686331,8.997066,19.31276649,21.57010283,19.06195134,21.31928768,2
0.886915214,1.376703627,2.41487916,9.256389,19.05717151,17.22391084,18.80641926,16.97061803,2
0.945916593,1.497685211,2.536444484,7.53545,17.55706045,17.51313485,17.3062453,17.26294721,2
0.967197034,1.532444848,2.636352905,23.198209,20.76038019,21.51075538,20.51025513,21.26063032,2
0.892881062,1.416408331,2.399972063,11.14343,21.49681529,15.16764236,21.23142251,14.90154337,2
1.046651298,1.646953164,2.720234472,23.129167,30.59177533,24.63549522,30.34102307,24.38411262,2
0.988178204,1.566563263,2.622305372,10.609587,5.265797392,22.87581699,5.015045135,22.62443439,2
1.119724401,1.741246447,2.972956273,14.678125,11.53460381,30.84252758,11.28385155,30.59177533,2
1.039202249,1.616742792,2.770125635,14.390099,24.57372116,23.24406266,24.32296891,22.9914098,2
1.036507834,1.618435966,2.742889173,7.93,16.01200901,26.33559067,15.76182137,26.08477552,2
1.149893078,1.790257702,3.086212061,13.756771,12.53761284,33.09929789,12.28686058,32.84854564,2
1.045243633,1.62750343,2.833641208,6.832,8.274824473,14.79438315,8.024072217,14.54363089,2
1.114018331,1.741611637,3.006415117,17.588333,11.28385155,26.0782347,11.0330993,25.82748245,2
1.001816185,1.575644444,2.64315257,11.030833,13.29320291,18.35554438,13.04238776,18.10409857,2
1.047735586,1.644121675,2.82983482,14.342821,23.06920762,25.38964304,22.81845537,25.13826043,2
0.975496717,1.51656751,2.664213854,9.261585,11.28385155,11.28385155,11.0330993,11.0330993,2
0.928215664,1.450786764,2.459420333,14.341587,14.04564836,16.8468695,13.79483321,16.59542369,2
1.018450083,1.59930752,2.772727663,17.346875,20.76038019,28.26413207,20.51025513,28.014007,2
1.015122988,1.571941988,2.745711918,24.80625,14.25712856,18.50925463,14.0070035,18.25912956,2
1.077573944,1.672369046,2.981639718,10.873534,9.029345372,7.524454477,8.778530223,7.273639328,2
0.958899617,1.525368461,2.558786127,15.635377,16.26219665,17.34976113,16.01200901,17.09831531,2
0.964561911,1.505319954,2.621030841,17.863497,14.54363089,16.12903226,14.29287864,15.87701613,2
0.95227047,1.485754377,2.609158385,16.484186,9.027081244,13.96070321,8.776328987,13.70217166,2
1.007696163,1.594064629,2.707968269,9.672857,10.25512756,10.0050025,10.0050025,9.754877439,2
1.105459163,1.718043765,2.963577328,11.818888,11.00550275,18.25912956,10.75537769,18.0090045,2
1.175229447,1.82003789,3.159386324,13.886458,6.753376688,11.25562781,6.503251626,11.00550275,2
1.137139549,1.788347756,3.058706953,15.326377,16.05216955,17.8078756,15.8013544,17.55706045,2
1.024767552,1.590366799,2.767607618,7.452122,11.03586657,14.58385718,10.78505142,14.33241137,2
0.971770396,1.533005004,2.59676218,14.033667,10.03009027,13.07189542,9.779338014,12.82051282,2
0.89177176,1.404286566,2.442849873,7.763636,9.803921569,7.290095525,9.552538964,7.038712921,2
0.953569081,1.49920284,2.583212952,9.337634,10.55806938,11.06083459,10.30668678,10.80945199,2
0.968031689,1.535952916,2.631860983,13.364988,16.05216955,15.66843568,15.8013544,15.41571898,2
0.974694217,1.527538061,2.588048568,13.831087,20.41330645,16.71891327,20.16129032,16.45768025,2
0.989906281,1.584194167,2.633111249,10.675,7.271815446,10.53159478,7.02106319,10.28084253,2
0.987158519,1.554348095,2.668116071,16.39129,15.25762881,16.93590412,15.00750375,16.67535175,2
0.967626626,1.51636791,2.629191388,15.810541,13.46202692,17.78003556,13.20802642,17.52603505,2
1.015570776,1.599056366,2.737169334,9.649775,17.43304699,17.3453997,17.18039414,17.09401709,2
1.224439526,1.897207178,3.332375108,12.383,15.50775388,13.25662831,15.25762881,13.00650325,2
1.257218912,1.958571394,3.385011142,7.3444,15.04513541,15.04513541,14.79438315,14.79438315,2
1.31590848,2.05662451,3.516558097,9.340625,15.79739218,14.79438315,15.54663992,14.54363089,2
1.365004064,2.108805227,3.667294382,9.389564,8.274824473,8.024072217,8.024072217,7.77331996,2
1.215700118,1.874359456,3.274524645,6.303333,11.53460381,12.03610832,11.28385155,11.78535607,2
1.234676079,1.923143209,3.387584122,3.998889,9.006755066,9.006755066,8.756567426,8.756567426,2
1.240284655,1.932131494,3.35182321,6.1,13.54062187,13.54062187,13.28986961,13.28986961,2
1.115320023,1.731529043,2.956437431,10.147664,14.94427558,13.60887097,14.69098278,13.35685484,2
1.26395224,1.975914774,3.401730269,9.345668,20.51538654,21.26594946,20.2651989,21.01576182,2
1.253427607,1.997763963,3.364098096,14.335,22.81845537,23.57071214,22.56770311,23.31995988,2
1.129385625,1.755216359,3.040231412,8.918741,12.03912716,10.78505142,11.78831201,10.53423627,2
1.187681157,1.841081802,3.111444666,4.931371,9.528585757,9.277833501,9.277833501,9.027081244,2
1.193070915,1.86116912,3.156250869,9.429583,17.8708195,18.12611693,17.61552208,17.8708195,2
1.154531131,1.803046182,3.123023356,12.096815,15.79739218,14.29287864,15.54663992,14.04212638,2
1.116477221,1.756534913,2.938524765,7.127258,8.52557673,9.277833501,8.274824473,9.027081244,2
1.057639281,1.644312894,2.850501012,5.246213,9.779338014,10.78234704,9.528585757,10.53159478,2
1.216916465,1.879813213,3.307873261,12.518474,14.79438315,15.54663992,14.54363089,15.29588766,2
1.153383078,1.803944007,3.071797377,18.265093,17.76332249,16.51238429,17.51313485,16.26219665,2
1.050043852,1.63603139,2.867918435,14.518,13.79137412,17.30190572,13.54062187,17.05115346,2
1.224583131,1.902452401,3.285527078,5.8072,11.53460381,10.53159478,11.28385155,10.28084253,2
1.304288738,2.045093444,3.463604382,2.510088,17.55265797,18.05416249,17.30190572,17.80341023,2
1.279817751,1.998636034,3.457116632,22.581731,25.82748245,27.58274824,25.57673019,27.33199599,2
1.168518535,1.821645296,3.13159398,9.510022,15.29588766,13.54062187,15.04513541,13.28986961,2
1.138593176,1.76076155,3.020773298,5.373083,15.04513541,15.29588766,14.79438315,15.04513541,2
1.290790649,2.017168647,3.458610619,2.873421,12.63264275,11.39817629,12.37998989,11.14488349,2
